Task ID,Title,Category,Location,Term,Priority,Status,Assigned To,Date Reported,Due Date,Date Completed,Cost,Vendor,Progress,Notes
MNT-001,"Wall Plaster",Civil/Building,Playground,Term 2,🟠 High,✅ Completed,External Vendor,2026-02-23,2026-03-02,,800,Ghaleeb,100%,"The wall plaster of the sub-station next to Taher Hall pump room was damaged. The wall plastered has been thoroughly revamped  completed."
MNT-002,"Fence of open area",Safety & Security,Playground,Term 2,🔴 Critical,✅ Completed,Maintenance Team,2026-02-25,2026-03-07,,650,Internally with our maintenance team,100%,"The open area around the Taher hall pump has been fenced with welded mesh. Materials used: Road base, cement, MS galvanised 2 inch pipe, welded green mesh and padlock.The work is carried out by our AUS maintenance team. The approx material cost was AED 650.00"
MNT-003,"Shade cleaning",Cleaning,Primary Section,Term 2,🟠 High,✅ Completed,External Vendor,2026-02-18,2026-03-01,,1890,Vision Shades Ind L.L.C.,100%,"Shade in primary section quadrangle area was had lots junks on the shade, it's has been cleaned by external contractor(Mr. Md. Amanulla)"
MNT-004,"Interlocking & astro turf ",Civil/Building,Block A – Boys,Term 1,🟠 High,✅ Completed,External Vendor,2025-06-01,2025-08-15,,50295,Hamptom middle east L.L.C.,100%,"The boys assembly area installation of astro turf in 2 area and aslo installation of interlocking in 2 area. Work has been thorough completed by the company named Hamtom(Mr. Sajeer)."
MNT-005,"Soft padding for the KG play area ",Safety & Security,Playground,Term 1,🟠 High,✅ Completed,External Vendor,2025-06-14,2025-08-05,,7350,Hampton middle east L.L.C,100%,"Soft padding work for 22 metal pillars in KG back side KG play area has been done by the company Hamton(Mr. Sajeer)."
MNT-006,"KG library furniture ",Furniture,,Term 1,🟠 High,✅ Completed,External Vendor,2025-06-25,2025-08-20,,17598,Hampton middle east LLC,100%,"FS2 library complete set up new furniture supplied & installed by the company named Hampton(Mr. Sajeer)."
MNT-007,"Classroom furniture",Furniture,,Term 1,🟠 High,✅ Completed,External Vendor,2025-06-05,2025-08-18,,63000,Al barakat educational materials edu-kids,100%,"Supplied of Students table & chair set(185 sets)& 9 nos of teachers' desks with drawer in Sixth form center by Mr. Aiyaman & Shahzad."
MNT-008,"Tiles repaired ",Civil/Building,Taher Hall,Term 1,🔴 Critical,✅ Completed,External Vendor,2025-11-01,2025-11-03,,500,Ghaleeb,100%,"Nos of 10 tiles were popped up and broken in the main auditorium and revamped with new tiles by Mr Galeeb."
MNT-009,"Deep ecxavation of the football ground ",Civil/Building,Playground,Term 2,🔴 Critical,✅ Completed,External Vendor,2026-01-05,2026-01-15,,15000,Ghaleeb,100%,"Due to huge underground leakage there is no water in the fire hydrant- deep excavation done 1.5mtr depthx1.5mtr width of 80 meter from Taher hall pump room to Taher hall to 1st fire hydrant incl. some interlocking area by Mr. Galeeb. The civil work was done but no leakages found and postponed for summer break. "
MNT-010,"Astro turf-main football ground",Sports Facilities,Playground,Summer,🟠 High,⏳ Pending,External Vendor,2025-02-21,,,447000,MM technical services  LLC,0%,"The football astro turf replacement work and quotation submitted by Mr. Mohammed Ameen."
MNT-011,"EPDM SBR ",Sports Facilities,Outdoor Facilities,Summer,🟠 High,⏳ Pending,External Vendor,2025-09-09,,,80000,MM technical services LLC,0%,"The existing epdm sbr flooring got ripped off and to be redone and to continue the whole plain concrete area where the volleyball coat is. The price is given as approximately by Mr Md. Ameen "
MNT-012,"Metal sheet ramp",Civil/Building,,Summer,🟠 High,⏳ Pending,External Vendor,2025-08-08,,,30000,Galeeb,0%,"Removal of  existing metal sheet ramp and recasting with a proper concrete ramp with two sided railing from the bus ground to primary concrete area(Approx cost)."
MNT-013,"Refurbished of 4 restrooms",Civil/Building,Primary Section,Summer,🟠 High,⏳ Pending,External Vendor,2025-06-01,,,150000,Outside contractor,0%,"Primary section nos of 4 washrooms to be revamped with all new facilities including all the doors, sinks, commode, tiles,supply & installation of false ceiling and will all necessaries requirement(In short a complete washrooms) from the outside contractors. The price may be decrepancy ups & down> "
MNT-014,"Refurbished of 4 restroom",Civil/Building,Block A – Girls,Summer,🟠 High,⏳ Pending,External Vendor,2025-06-01,,,150000,Outside contractor ,0%,"No of 4 washrooms in girls section to be refurbished with all facilities incl. false ceiling."
MNT-015,"AIRCON units",HVAC/AC,,Summer,🔴 Critical,⏳ Pending,External Vendor,2025-06-06,,,520000,Al Saeediyah,0%,"The current ACs are really in not good condition i.e, making noise, not giving proper cooling and frequent being broken. required of 90 AC units but at least 40 AC units are ok to replace in respective classrooms."
MNT-016,"Metal gate 1 & 2",Civil/Building,,Summer,🔴 Critical,⏳ Pending,External Vendor,2025-06-01,,,30000,Outsider,0%,"Gate no 1 & 2 both metal gates are in not good condition especially gate no 1. This is very difficult to open and close( got rusted, touching the flooring and its hinges get broken often times even after repairing of it. Plan to repalce with sliding one as gate no 3."
MNT-017,"Slanted boundary wall",Civil/Building,Parking Area,Summer,🔴 Critical,⏳ Pending,External Vendor,2025-05-05,,,40000,Ghaleeb,0%,"The boundary wall back side of primary section is slanted due to the rain water and ground pushed - pressed towards the wall, needs to demolish the existing slanted wall and making new concrete block wall(approx price)."
MNT-018,"External building painting",Painting,,Summer,🟡 Medium,⏳ Pending,External Vendor,2025-05-05,,,200000,EXTERNAL CONTRACTOR ,0%,"Thorough external painting of Admin-A level-KG-Girls-Boys & Primary building with JOTUN jotashield brand paints(Approx prcie)."
MNT-019,"Ceiling Fan",Electrical,,Summer,🟠 High,⏳ Pending,Maintenance Team,2026-06-05,,,25000,Electrical Shop,0%,"Some ceiling fans in respective section to be replaced with new one the reason fans are rusty, noisy and broken due to very old."
MNT-020,"Gate 6 boundary light",Electrical,,Summer,🟡 Medium,⏳ Pending,Maintenance Team,2025-12-01,,,2500,Electrical shop,0%,"There are 22 wall fence pillar at gate no 6 and 22 pillars light to be installed."
MNT-021,"Garden Turf",Landscaping,,Summer,🟡 Medium,⏳ Pending,External Vendor,2026-02-15,,,56000,Vision Shades Ind LLC,0%,"The open garden area in respective section landscaping to be covered by green astro turf(Area 665 SQM by Mr Amanullah."
MNT-022,"Supply & installation of interlocks",Civil/Building,Parking Area,Summer,🟡 Medium,⏳ Pending,External Vendor,2026-02-16,,,22000,Ghaleeb,0%,"Girls section back side in open sand area and a bit near bus washing area(Size about 140SQM."
MNT-023,"Complete revamping of KG building",Civil/Building,,Summer,🟠 High,⏳ Pending,External Vendor,2025-10-10,,,1100000,Outside contractor,0%,"The complete building to be revamped including toilets leakage and leakage during rain from the roof top and concrete cracked too. "
MNT-024,"New laptops",,,Summer,🟡 Medium,⏳ Pending,External Vendor,2026-03-24,,,90000,External IT,0%,"Required of 60 new lappy device for the AY 2026-2027."
MNT-025,"FS2 Classroom Furniture ",Furniture,,Summer,🟡 Medium,⏳ Pending,External Vendor,2026-03-11,,,45000,Royal Furniture,0%,"Supply of rectangular wards table 75 nos and 327 wards chair for FS2 classrooms to replace the old broken classroom furniture. Vendor: Mr. Joseph. "
MNT-026,"Expansion of Pathway",,,Summer,🟡 Medium,⏳ Pending,External Vendor,2026-02-10,,,19500,Ghaleeb,0%,"The reposition of existing ramp, tiling work and more from KG to boys side."
MNT-027,"Water cooling system",Electrical,,Summer,🟠 High,⏳ Pending,External Vendor,2025-08-26,,,51000,Soft water technical services LLC,0%,"FS2 Washrooms water during summer is very hot and this is health & safety concern to the KG wards. Supplier name:Mr. Mumtaj"
MNT-028,"Taher HAll ICT lab flooring ",Civil/Building,Taher Hall,Summer,🟠 High,⏳ Pending,External Vendor,2026-02-10,,,51000,Sales Hayyan decoration design,0%,"The exsting flooring removal and reinstallation with new ones with same design but ceramic tiles to the flooring in Taher Hall ICT lab. Contact person: Mr. Mark."
MNT-029,"Underground pipe replacement",Civil/Building,Taher Hall,Summer,🔴 Critical,⏳ Pending,External Vendor,2026-02-01,,,100000,Firco & civil contractor(Ghaleeb),0%,"The underground fire hydrant pipe to be replaced about 200mtr from Taher hall pump room to boys soccer ground interlocking area to front side of Taher Hall to Girls section interlocking area(Taher hall side) till all 4 fire hydrant from pump room to soccer ground(approx price."
MNT-030,"Cast iron grating ",Civil/Building,Parking Area,Summer,🟠 High,⏳ Pending,External Vendor,2026-02-10,,,38000,Laprelle Interiors LLC,0%,"Bus washing area drainage cast iron cover 60 running meter. Contact person: Mr. Shiva"
MNT-031,"ICT flooring",Civil/Building,Taher Hall,Summer,🟠 High,⏳ Pending,External Vendor,2026-02-10,,,150150,Leprelle Interiors LLC,0%,"The hard flooring with styrofoam and ceramic tiles in ICT lab & corridor in Taher Hall. Contact person: Mr. Shiva"
MNT-032,"Corner Guard",,,Term 2,🟠 High,✅ Completed,Maintenance Team,2026-02-23,2026-03-10,,288,General store,0%,"Reinstallation of new cushion red coloured corner guards of 18 nos fire hose metal boxes in Girls, primary, KG and boys section. Carried out by our internal maintenance team. "
